size,code_id,n_bits,n_checks,variable_degree,check_degree,generation_seed,matrix_sha256,hash_definition,gf2_rank,dimension,design_rate,actual_rate,binary_ok,variable_degree_ok,check_degree_ok,full_row_rank,duplicate_row_count,duplicate_column_count,accepted_for_study,file
N192_M96,C00,192,96,3,6,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C00.npz
N192_M96,C01,192,96,3,6,2026082701,a28501c1d8835679c90f0a33ec7ba676312b6ce805367a8e5c204e0a460d7be6,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C01.npz
N192_M96,C02,192,96,3,6,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C02.npz
N192_M96,C03,192,96,3,6,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C03.npz
N192_M96,C04,192,96,3,6,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C04.npz
N192_M96,C05,192,96,3,6,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C05.npz
N192_M96,C06,192,96,3,6,2026082706,67e8bfd0a41ecfef822cd92b156dd8e32a73f66bfee63eb4d04a71ce3375d854,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C06.npz
N192_M96,C07,192,96,3,6,2026082707,1759b21eb9fa1782d48e0d0c0ab97ed858d26544d38040a70c8f6694ba2ce7c6,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C07.npz
N192_M96,C08,192,96,3,6,2026082708,a4a46d3960db053cd1b0c23840b44bd8e7d714c5f4ed67f42cd97f630ecb7d54,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C08.npz
N192_M96,C09,192,96,3,6,2026082709,ac816bd97c2b921526a9e4685f619835e38d4e341456d542de1acf214eaf5cbe,sha256(uint8_C_order_matrix_bytes),96,96,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N192_M96/C09.npz
N288_M144,C00,288,144,3,6,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C00.npz
N288_M144,C01,288,144,3,6,2026082701,842d146426a0a749ef118497e8ee33a640476573833ba283982f24766f70a165,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C01.npz
N288_M144,C02,288,144,3,6,2026082702,b5ae731d9748c18e1ba1efed8b6476151140a66616957e249fe7246155aebfca,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C02.npz
N288_M144,C03,288,144,3,6,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C03.npz
N288_M144,C04,288,144,3,6,2026082704,9c8e14e8785a97472dbb8e9843ab81fa4c2ac5a0d5a5d4dfae37e4dc6bd50002,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C04.npz
N288_M144,C05,288,144,3,6,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C05.npz
N288_M144,C06,288,144,3,6,2026082707,2bb97494e49d7e3ee018b8078765710ce355fcd80b477b4d5b9695307cbe57e6,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C06.npz
N288_M144,C07,288,144,3,6,2026082708,5fe81abd734edb48c9f3ef715c853cb3005fe0a54fed855c80e7e3eb857c8446,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C07.npz
N288_M144,C08,288,144,3,6,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C08.npz
N288_M144,C09,288,144,3,6,2026082710,4a5bf7488f4896776f9f1bb02e31c78e8b8d82bda37b0106fa3b7f85b409cf44,sha256(uint8_C_order_matrix_bytes),144,144,0.5,0.5,True,True,True,True,0,0,True,data/metadata/matrices/N288_M144/C09.npz
